"Filename","Species","Subplot","final_ID","Sample","Year","disturbance_severity","treatment","crown_mean_Asat","crown_mean_Cond"
"D01E_acru_can01_07222018","acru","D01E","1EA1",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_acru_can04_07222018","acru","D01E","1EA2",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_acru_can07_07222018","acru","D01E","1EA3",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_pogr_can01_07222018","pogr","D01E","1EP1",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_pogr_can04_07222018","pogr","D01E","1EP2",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_pogr_can07_07222018","pogr","D01E","1EP3",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_quru_can01_07222018","quru","D01E","1EQ1",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_quru_can04_07222018","quru","D01E","1EQ2",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01E_quru_can07_07222018","quru","D01E","1EQ3",1,2018,"0","B",13.5816616323168,0.279615095608505
"D01W_acru_can01_07232018","acru","D01W","1WA1",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_acru_can04_07232018","acru","D01W","1WA2",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_acru_can07_07232018","acru","D01W","1WA3",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_pogr_can01_07232018","pogr","D01W","1WP1",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_pogr_can04_07232018","pogr","D01W","1WP2",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_pogr_can07_07232018","pogr","D01W","1WP3",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_quru_can01_07232018","quru","D01W","1WQ1",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_quru_can04_07232018","quru","D01W","1WQ2",1,2018,"0","T",13.5816616323168,0.279615095608505
"D01W_quru_can07_07232018","quru","D01W","1WQ3",1,2018,"0","T",13.5816616323168,0.279615095608505
"D02E_acru_can01_07182018","acru","D02E","2EA1",1,2018,"85","B",13.5816616323168,0.279615095608505
"D02E_acru_can06_07192018","acru","D02E","2EA2",1,2018,"85","B",13.5816616323168,0.279615095608505
"D02E_acru_can09_07192018","acru","D02E","2EA3",1,2018,"85","B",13.5816616323168,0.279615095608505
"D02E_pogr_can01_07182018","pogr","D02E","2EP1",1,2018,"85","B",13.5816616323168,0.279615095608505
"D02E_pogr_can06_07192018","pogr","D02E","2EP2",1,2018,"85","B",13.5816616323168,0.279615095608505
"D02E_pogr_can09_07192018","pogr","D02E","2EP3",1,2018,"85","B",13.5816616323168,0.279615095608505
"D02E_quru_can01_07182018","quru","D02E","2EQ1",1,2018,"85","B",13.5816616323168,0.279615095608505
"D02E_quru_can06_07182018","quru","D02E","2EQ2",1,2018,"85","B",13.5816616323168,0.279615095608505
"D02E_quru_can11_07192018","quru","D02E","2EQ3",1,2018,"85","B",13.5816616323168,0.279615095608505
"D02W_acru_can01_07182018","acru","D02W","2WA1",1,2018,"85","T",13.5816616323168,0.279615095608505
"D02W_acru_can06_07182018","acru","D02W","2WA2",1,2018,"85","T",13.5816616323168,0.279615095608505
"D02W_acru_can11_07182018","acru","D02W","2WA3",1,2018,"85","T",13.5816616323168,0.279615095608505
"D02W_pogr_can01_07172018","pogr","D02W","2WP1",1,2018,"85","T",13.5816616323168,0.279615095608505
"D02W_pogr_can06_07182018","pogr","D02W","2WP2",1,2018,"85","T",13.5816616323168,0.279615095608505
"D02W_quru_can02_07172018","quru","D02W","2WQ1",2,2018,"85","T",13.5816616323168,0.279615095608505
"D02W_quru_can06_07172018","quru","D02W","2WQ2",1,2018,"85","T",13.5816616323168,0.279615095608505
"D02W_quru_can11_07182018","quru","D02W","2WQ3",1,2018,"85","T",13.5816616323168,0.279615095608505
"D03E_acru_can01_07202018","acru","D03E","3EA1",1,2018,"45","B",13.5816616323168,0.279615095608505
"D03E_acru_can04_07202018","acru","D03E","3EA2",1,2018,"45","B",13.5816616323168,0.279615095608505
"D03E_acru_can07_07202018","acru","D03E","3EA3",1,2018,"45","B",13.5816616323168,0.279615095608505
"D03E_pogr_can01_07202018","pogr","D03E","3EP1",1,2018,"45","B",13.5816616323168,0.279615095608505
"D03E_pogr_can04_07202018","pogr","D03E","3EP2",1,2018,"45","B",13.5816616323168,0.279615095608505
"D03E_pogr_can07_07202018","pogr","D03E","3EP3",1,2018,"45","B",13.5816616323168,0.279615095608505
"D03E_quru_can01_07202018","quru","D03E","3EQ1",1,2018,"45","B",13.5816616323168,0.279615095608505
"D03E_quru_can04_07202018","quru","D03E","3EQ2",1,2018,"45","B",13.5816616323168,0.279615095608505
"D03E_quru_can07_07202018","quru","D03E","3EQ3",1,2018,"45","B",13.5816616323168,0.279615095608505
"D03W_acru_can01_07222018","acru","D03W","3WA1",1,2018,"45","T",13.5816616323168,0.279615095608505
"D03W_acru_can04_07222018","acru","D03W","3WA2",1,2018,"45","T",13.5816616323168,0.279615095608505
"D03W_acru_can07_07222018","acru","D03W","3WA3",1,2018,"45","T",13.5816616323168,0.279615095608505
"D03W_pogr_can01_07222018","pogr","D03W","3WP1",1,2018,"45","T",13.5816616323168,0.279615095608505
"D03W_pogr_can04_07222018","pogr","D03W","3WP2",1,2018,"45","T",13.5816616323168,0.279615095608505
"D03W_pogr_can07_07222018","pogr","D03W","3WP3",1,2018,"45","T",13.5816616323168,0.279615095608505
"D03W_quru_can01_07222018","quru","D03W","3WQ1",1,2018,"45","T",13.5816616323168,0.279615095608505
"D03W_quru_can04_07222018","quru","D03W","3WQ2",1,2018,"45","T",13.5816616323168,0.279615095608505
"D03W_quru_can07_07222018","quru","D03W","3WQ3",1,2018,"45","T",13.5816616323168,0.279615095608505
"D04E_acru_can01_07192018","acru","D04E","4EA1",1,2018,"65","T",13.5816616323168,0.279615095608505
"D04E_acru_can04_07192018","acru","D04E","4EA2",1,2018,"65","T",13.5816616323168,0.279615095608505
"D04E_acru_can07_07192018","acru","D04E","4EA3",1,2018,"65","T",13.5816616323168,0.279615095608505
"D04E_pogr_can01_07192018","pogr","D04E","4EP1",1,2018,"65","T",13.5816616323168,0.279615095608505
"D04E_pogr_can04_07192018","pogr","D04E","4EP2",1,2018,"65","T",13.5816616323168,0.279615095608505
"D04E_pogr_can07_07192018","pogr","D04E","4EP3",1,2018,"65","T",13.5816616323168,0.279615095608505
"D04E_quru_can01_07192018","quru","D04E","4EQ1",1,2018,"65","T",13.5816616323168,0.279615095608505
"D04E_quru_can04_07192018","quru","D04E","4EQ2",1,2018,"65","T",13.5816616323168,0.279615095608505
"D04W_acru_can01_07202018","acru","D04W","4WA1",1,2018,"65","B",13.5816616323168,0.279615095608505
"D04W_acru_can04_07202018","acru","D04W","4WA2",1,2018,"65","B",13.5816616323168,0.279615095608505
"D04W_acru_can07_07202018","acru","D04W","4WA3",1,2018,"65","B",13.5816616323168,0.279615095608505
"D04W_pogr_can01_07192018","pogr","D04W","4WP1",1,2018,"65","B",13.5816616323168,0.279615095608505
"D04W_pogr_can04_07192018","pogr","D04W","4WP2",1,2018,"65","B",13.5816616323168,0.279615095608505
"D04W_pogr_can07_07202018","pogr","D04W","4WP3",1,2018,"65","B",13.5816616323168,0.279615095608505
"D04W_quru_can01_07202018","quru","D04W","4WQ1",1,2018,"65","B",13.5816616323168,0.279615095608505
"D04W_quru_can04_07202018","quru","D04W","4WQ2",1,2018,"65","B",13.5816616323168,0.279615095608505
"D04W_quru_can07_07202018","quru","D04W","4WQ3",1,2018,"65","B",13.5816616323168,0.279615095608505
"1EA1_01_20190806","acru","D01E","1EA1",1,2019,"0","B",13.5816616323168,0.279615095608505
"1EA2_01_20190806","acru","D01E","1EA2",1,2019,"0","B",13.5816616323168,0.279615095608505
"1EA3_01_20190806","acru","D01E","1EA3",1,2019,"0","B",13.5816616323168,0.279615095608505
"1EP1_01_20190806","pogr","D01E","1EP1",1,2019,"0","B",13.5816616323168,0.279615095608505
"1EP2_01_20190806","pogr","D01E","1EP2",1,2019,"0","B",13.5816616323168,0.279615095608505
"1EP3_01_20190806","pogr","D01E","1EP3",1,2019,"0","B",13.5816616323168,0.279615095608505
"1EQ1_01_20190806","quru","D01E","1EQ1",1,2019,"0","B",13.5816616323168,0.279615095608505
"1EQ2_01_20190806","quru","D01E","1EQ2",1,2019,"0","B",13.5816616323168,0.279615095608505
"1EQ3_01_20190806","quru","D01E","1EQ3",1,2019,"0","B",13.5816616323168,0.279615095608505
"1WA1_01_20190805","acru","D01W","1WA1",1,2019,"0","T",13.5816616323168,0.279615095608505
"1WA2_01_20190805","acru","D01W","1WA2",1,2019,"0","T",13.5816616323168,0.279615095608505
"1WA3_01_20190805","acru","D01W","1WA3",1,2019,"0","T",13.5816616323168,0.279615095608505
"1WP1_01_20190805","pogr","D01W","1WP1",1,2019,"0","T",13.5816616323168,0.279615095608505
"1WP2_01_20190805","pogr","D01W","1WP2",1,2019,"0","T",13.5816616323168,0.279615095608505
"1WP3_01_20190805","pogr","D01W","1WP3",1,2019,"0","T",13.5816616323168,0.279615095608505
"1WQ1_01_20190805","quru","D01W","1WQ1",1,2019,"0","T",13.5816616323168,0.279615095608505
"1WQ2_01_20190805","quru","D01W","1WQ2",1,2019,"0","T",13.5816616323168,0.279615095608505
"1WQ3_01_20190805","quru","D01W","1WQ3",1,2019,"0","T",13.5816616323168,0.279615095608505
"2EA1_01_20190801","acru","D02E","2EA1",1,2019,"85","B",13.5816616323168,0.279615095608505
"2EA2_01_20190801","acru","D02E","2EA2",1,2019,"85","B",13.5816616323168,0.279615095608505
"2EA3_01_20190801","acru","D02E","2EA3",1,2019,"85","B",13.5816616323168,0.279615095608505
"2EP1_01_20190801","pogr","D02E","2EP1",1,2019,"85","B",13.5816616323168,0.279615095608505
"2EP2_01_20190731","pogr","D02E","2EP2",1,2019,"85","B",13.5816616323168,0.279615095608505
"2EP3_01_20190731","pogr","D02E","2EP3",1,2019,"85","B",13.5816616323168,0.279615095608505
"2EQ1_01_20190801","quru","D02E","2EQ1",1,2019,"85","B",13.5816616323168,0.279615095608505
"2EQ2_01_20190801","quru","D02E","2EQ2",1,2019,"85","B",13.5816616323168,0.279615095608505
"2EQ3_01_20190801","quru","D02E","2EQ3",1,2019,"85","B",13.5816616323168,0.279615095608505
"2WA1_01_20190802","acru","D02W","2WA1",1,2019,"85","T",13.5816616323168,0.279615095608505
"2WA2_01_20190801","acru","D02W","2WA2",1,2019,"85","T",13.5816616323168,0.279615095608505
"2WA3_01_20190801","acru","D02W","2WA3",1,2019,"85","T",13.5816616323168,0.279615095608505
"2WP1_01_20190801","pogr","D02W","2WP1",1,2019,"85","T",13.5816616323168,0.279615095608505
"2WP2_01_20190802","pogr","D02W","2WP2",1,2019,"85","T",13.5816616323168,0.279615095608505
"2WQ1_01_20190802","quru","D02W","2WQ1",1,2019,"85","T",13.5816616323168,0.279615095608505
"2WQ2_01_20190801","quru","D02W","2WQ2",1,2019,"85","T",13.5816616323168,0.279615095608505
"2WQ3_01_20190802","quru","D02W","2WQ3",1,2019,"85","T",13.5816616323168,0.279615095608505
"3EA1_01_20190808","acru","D03E","3EA1",1,2019,"45","B",13.5816616323168,0.279615095608505
"3EA2_01_20190808","acru","D03E","3EA2",1,2019,"45","B",13.5816616323168,0.279615095608505
"3EA3_01_20190808","acru","D03E","3EA3",1,2019,"45","B",13.5816616323168,0.279615095608505
"3EP1_01_20190808","pogr","D03E","3EP1",1,2019,"45","B",13.5816616323168,0.279615095608505
"3EP2_01_20190808","pogr","D03E","3EP2",1,2019,"45","B",13.5816616323168,0.279615095608505
"3EP3_01_20190808","pogr","D03E","3EP3",1,2019,"45","B",13.5816616323168,0.279615095608505
"3EQ1_01_20190808","quru","D03E","3EQ1",1,2019,"45","B",13.5816616323168,0.279615095608505
"3EQ2_01_20190808","quru","D03E","3EQ2",1,2019,"45","B",13.5816616323168,0.279615095608505
"3EQ3_01_20190808","quru","D03E","3EQ3",1,2019,"45","B",13.5816616323168,0.279615095608505
"3WA1_01_20190808","acru","D03W","3WA1",1,2019,"45","T",13.5816616323168,0.279615095608505
"3WA2_01_20190807","acru","D03W","3WA2",1,2019,"45","T",13.5816616323168,0.279615095608505
"3WA3_01_20190807","acru","D03W","3WA3",1,2019,"45","T",13.5816616323168,0.279615095608505
"3WP1_01_20190807","pogr","D03W","3WP1",1,2019,"45","T",13.5816616323168,0.279615095608505
"3WP2_01_20190807","pogr","D03W","3WP2",1,2019,"45","T",13.5816616323168,0.279615095608505
"3WP3_01_20190807","pogr","D03W","3WP3",1,2019,"45","T",13.5816616323168,0.279615095608505
"3WQ1_01_20190808","quru","D03W","3WQ1",1,2019,"45","T",13.5816616323168,0.279615095608505
"3WQ2_01_20190808","quru","D03W","3WQ2",1,2019,"45","T",13.5816616323168,0.279615095608505
"3WQ3_01_20190807","quru","D03W","3WQ3",1,2019,"45","T",13.5816616323168,0.279615095608505
"4EA1_01_20190730","acru","D04E","4EA1",1,2019,"65","T",13.5816616323168,0.279615095608505
"4EA2_01_20190730","acru","D04E","4EA2",1,2019,"65","T",13.5816616323168,0.279615095608505
"4EA3_01_20190730","acru","D04E","4EA3",1,2019,"65","T",13.5816616323168,0.279615095608505
"4EP1_01_20190730","pogr","D04E","4EP1",1,2019,"65","T",13.5816616323168,0.279615095608505
"4EP2_01_20190730","pogr","D04E","4EP2",1,2019,"65","T",13.5816616323168,0.279615095608505
"4EP3_01_20190730","pogr","D04E","4EP3",1,2019,"65","T",13.5816616323168,0.279615095608505
"4EQ1_01_20190730","quru","D04E","4EQ1",1,2019,"65","T",13.5816616323168,0.279615095608505
"4EQ2_01_20190730","quru","D04E","4EQ2",1,2019,"65","T",13.5816616323168,0.279615095608505
"4WA1_01_20190731","acru","D04W","4WA1",1,2019,"65","B",13.5816616323168,0.279615095608505
"4WA2_01_20190731","acru","D04W","4WA2",1,2019,"65","B",13.5816616323168,0.279615095608505
"4WA3_01_20190731","acru","D04W","4WA3",1,2019,"65","B",13.5816616323168,0.279615095608505
"4WP1_01_20190730","pogr","D04W","4WP1",1,2019,"65","B",13.5816616323168,0.279615095608505
"4WP2_01_20190731","pogr","D04W","4WP2",1,2019,"65","B",13.5816616323168,0.279615095608505
