"Filename","Species","Subplot","final_ID","Sample","Year","disturbance_severity","treatment","crown_mean_Asat","crown_mean_Cond"
"4WP3_01_20190730","pogr","D04W","4WP3",1,2019,"65","B",13.5816616323168,0.279615095608505
"4WQ1_01_20190731","quru","D04W","4WQ1",1,2019,"65","B",13.5816616323168,0.279615095608505
"4WQ2_01_20190731","quru","D04W","4WQ2",1,2019,"65","B",13.5816616323168,0.279615095608505
"4WQ3_01_20190731","quru","D04W","4WQ3",1,2019,"65","B",13.5816616323168,0.279615095608505
"1EA1_01_20200729","acru","D01E","1EA1",1,2020,"0","B",13.5816616323168,0.279615095608505
"1EA2_01_20200729","acru","D01E","1EA2",1,2020,"0","B",13.5816616323168,0.279615095608505
"1EA3_01_20200730","acru","D01E","1EA3",1,2020,"0","B",13.5816616323168,0.279615095608505
"1EP1_01_20200729","pogr","D01E","1EP1",1,2020,"0","B",13.5816616323168,0.279615095608505
"1EP2_01_20200729","pogr","D01E","1EP2",1,2020,"0","B",13.5816616323168,0.279615095608505
"1EP3_01_20200730","pogr","D01E","1EP3",1,2020,"0","B",13.5816616323168,0.279615095608505
"1EQ1_01_20200729","quru","D01E","1EQ1",1,2020,"0","B",13.5816616323168,0.279615095608505
"1EQ2_01_20200729","quru","D01E","1EQ2",1,2020,"0","B",13.5816616323168,0.279615095608505
"1EQ3_01_20200730","quru","D01E","1EQ3",1,2020,"0","B",13.5816616323168,0.279615095608505
"1WA1_01_20200730","acru","D01W","1WA1",1,2020,"0","T",13.5816616323168,0.279615095608505
"1WA2_01_20200730","acru","D01W","1WA2",1,2020,"0","T",13.5816616323168,0.279615095608505
"1WA3_01_20200730","acru","D01W","1WA3",1,2020,"0","T",13.5816616323168,0.279615095608505
"1WP1_01_20200730","pogr","D01W","1WP1",1,2020,"0","T",13.5816616323168,0.279615095608505
"1WP2_01_20200730","pogr","D01W","1WP2",1,2020,"0","T",13.5816616323168,0.279615095608505
"1WP3_01_20200730","pogr","D01W","1WP3",1,2020,"0","T",13.5816616323168,0.279615095608505
"1WQ1_01_20200730","quru","D01W","1WQ1",1,2020,"0","T",13.5816616323168,0.279615095608505
"1WQ2_01_20200730","quru","D01W","1WQ2",1,2020,"0","T",13.5816616323168,0.279615095608505
"1WQ3_01_20200730","quru","D01W","1WQ3",1,2020,"0","T",13.5816616323168,0.279615095608505
"2EA1_01_20200727","acru","D02E","2EA1",1,2020,"85","B",13.5816616323168,0.279615095608505
"2EA2_01_20200728","acru","D02E","2EA2",1,2020,"85","B",13.5816616323168,0.279615095608505
"2EA3_01_20200728","acru","D02E","2EA3",1,2020,"85","B",13.5816616323168,0.279615095608505
"2EP1_02_20200727","pogr","D02E","2EP1",2,2020,"85","B",13.5816616323168,0.279615095608505
"2EP2_01_20200728","pogr","D02E","2EP2",1,2020,"85","B",13.5816616323168,0.279615095608505
"2EP3_01_20200728","pogr","D02E","2EP3",1,2020,"85","B",13.5816616323168,0.279615095608505
"2EQ1_01_20200727","quru","D02E","2EQ1",1,2020,"85","B",13.5816616323168,0.279615095608505
"2EQ2_01_20200727","quru","D02E","2EQ2",1,2020,"85","B",13.5816616323168,0.279615095608505
"2EQ3_01_20200728","quru","D02E","2EQ3",1,2020,"85","B",13.5816616323168,0.279615095608505
"2WA1_01_20200727","acru","D02W","2WA1",1,2020,"85","T",13.5816616323168,0.279615095608505
"2WA2_01_20200727","acru","D02W","2WA2",1,2020,"85","T",13.5816616323168,0.279615095608505
"2WA3_01_20200727","acru","D02W","2WA3",1,2020,"85","T",13.5816616323168,0.279615095608505
"2WP1_01_20200727","pogr","D02W","2WP1",1,2020,"85","T",13.5816616323168,0.279615095608505
"2WP2_01_20200726","pogr","D02W","2WP2",1,2020,"85","T",13.5816616323168,0.279615095608505
"2WQ1_01_20200727","quru","D02W","2WQ1",1,2020,"85","T",13.5816616323168,0.279615095608505
"2WQ2_01_20200727","quru","D02W","2WQ2",1,2020,"85","T",13.5816616323168,0.279615095608505
"2WQ3_01_20200726","quru","D02W","2WQ3",1,2020,"85","T",13.5816616323168,0.279615095608505
"3EA1_01_20200725","acru","D03E","3EA1",1,2020,"45","B",13.5816616323168,0.279615095608505
"3EA2_01_20200725","acru","D03E","3EA2",1,2020,"45","B",13.5816616323168,0.279615095608505
"3EA3_01_20200725","acru","D03E","3EA3",1,2020,"45","B",13.5816616323168,0.279615095608505
"3EP1_01_20200725","pogr","D03E","3EP1",1,2020,"45","B",13.5816616323168,0.279615095608505
"3EP2_01_20200725","pogr","D03E","3EP2",1,2020,"45","B",13.5816616323168,0.279615095608505
"3EP3_01_20200725","pogr","D03E","3EP3",1,2020,"45","B",13.5816616323168,0.279615095608505
"3EQ1_01_20200725","quru","D03E","3EQ1",1,2020,"45","B",13.5816616323168,0.279615095608505
"3EQ2_01_20200725","quru","D03E","3EQ2",1,2020,"45","B",13.5816616323168,0.279615095608505
"3EQ3_01_20200725","quru","D03E","3EQ3",1,2020,"45","B",13.5816616323168,0.279615095608505
"3WA1_01_20200725","acru","D03W","3WA1",1,2020,"45","T",13.5816616323168,0.279615095608505
"3WA2_01_20200725","acru","D03W","3WA2",1,2020,"45","T",13.5816616323168,0.279615095608505
"3WA3_01_20200726","acru","D03W","3WA3",1,2020,"45","T",13.5816616323168,0.279615095608505
"3WP1_01_20200726","pogr","D03W","3WP1",1,2020,"45","T",13.5816616323168,0.279615095608505
"3WP2_01_20200726","pogr","D03W","3WP2",1,2020,"45","T",13.5816616323168,0.279615095608505
"3WP3_01_20200726","pogr","D03W","3WP3",1,2020,"45","T",13.5816616323168,0.279615095608505
"3WQ1_01_20200725","quru","D03W","3WQ1",1,2020,"45","T",13.5816616323168,0.279615095608505
"3WQ2_01_20200725","quru","D03W","3WQ2",1,2020,"45","T",13.5816616323168,0.279615095608505
"3WQ3_01_20200725","quru","D03W","3WQ3",1,2020,"45","T",13.5816616323168,0.279615095608505
"4EA1_01_20200728","acru","D04E","4EA1",1,2020,"65","T",13.5816616323168,0.279615095608505
"4EA2_01_20200728","acru","D04E","4EA2",1,2020,"65","T",13.5816616323168,0.279615095608505
"4EA3_01_20200728","acru","D04E","4EA3",1,2020,"65","T",13.5816616323168,0.279615095608505
"4EP1_01_20200728","pogr","D04E","4EP1",1,2020,"65","T",13.5816616323168,0.279615095608505
"4EP2_01_20200728","pogr","D04E","4EP2",1,2020,"65","T",13.5816616323168,0.279615095608505
"4EP3_01_20200728","pogr","D04E","4EP3",1,2020,"65","T",13.5816616323168,0.279615095608505
"4EQ1_01_20200728","quru","D04E","4EQ1",1,2020,"65","T",13.5816616323168,0.279615095608505
"4EQ2_01_20200728","quru","D04E","4EQ2",1,2020,"65","T",13.5816616323168,0.279615095608505
"4WA1_01_20200729","acru","D04W","4WA1",1,2020,"65","B",13.5816616323168,0.279615095608505
"4WA2_01_20200728","acru","D04W","4WA2",1,2020,"65","B",13.5816616323168,0.279615095608505
"4WA3_01_20200729","acru","D04W","4WA3",1,2020,"65","B",13.5816616323168,0.279615095608505
"4WP1_01_20200729","pogr","D04W","4WP1",1,2020,"65","B",13.5816616323168,0.279615095608505
"4WP2_01_20200729","pogr","D04W","4WP2",1,2020,"65","B",13.5816616323168,0.279615095608505
"4WP3_01_20200729","pogr","D04W","4WP3",1,2020,"65","B",13.5816616323168,0.279615095608505
"4WQ1_01_20200729","quru","D04W","4WQ1",1,2020,"65","B",13.5816616323168,0.279615095608505
"4WQ2_01_20200729","quru","D04W","4WQ2",1,2020,"65","B",13.5816616323168,0.279615095608505
"4WQ3_01_20200728","quru","D04W","4WQ3",1,2020,"65","B",13.5816616323168,0.279615095608505
"1EA1_01_20210804","acru","D01E","1EA1",1,2021,"0","B",13.5816616323168,0.279615095608505
"1EA2_01_20210804","acru","D01E","1EA2",1,2021,"0","B",13.5816616323168,0.279615095608505
"1EA3_01_20210804","acru","D01E","1EA3",1,2021,"0","B",13.5816616323168,0.279615095608505
"1EP1_01_20210804","pogr","D01E","1EP1",1,2021,"0","B",13.5816616323168,0.279615095608505
"1EP2_01_20210804","pogr","D01E","1EP2",1,2021,"0","B",13.5816616323168,0.279615095608505
"1EP3_01_20210804","pogr","D01E","1EP3",1,2021,"0","B",13.5816616323168,0.279615095608505
"1EQ1_01_20210804","quru","D01E","1EQ1",1,2021,"0","B",13.5816616323168,0.279615095608505
"1EQ2_01_20210804","quru","D01E","1EQ2",1,2021,"0","B",13.5816616323168,0.279615095608505
"1EQ3_01_20210804","quru","D01E","1EQ3",1,2021,"0","B",13.5816616323168,0.279615095608505
"1WA1_01_20210804","acru","D01W","1WA1",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WA2_01_20210804","acru","D01W","1WA2",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WA3_01_20210804","acru","D01W","1WA3",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WP1_01_20210802","pogr","D01W","1WP1",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WP2_01_20210802","pogr","D01W","1WP2",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WP3_01_20210802","pogr","D01W","1WP3",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WQ1_01_20210804","quru","D01W","1WQ1",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WQ2_01_20210804","quru","D01W","1WQ2",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WQ3_01_20210804","quru","D01W","1WQ3",1,2021,"0","T",13.5816616323168,0.279615095608505
"2EA1_01_20210728","acru","D02E","2EA1",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EA2_01_20210728","acru","D02E","2EA2",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EA3_01_20210728","acru","D02E","2EA3",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EP1_02_20210728","pogr","D02E","2EP1",2,2021,"85","B",13.5816616323168,0.279615095608505
"2EP2_01_20210728","pogr","D02E","2EP2",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EP3_01_20210728","pogr","D02E","2EP3",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EQ1_01_20210728","quru","D02E","2EQ1",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EQ2_01_20210728","quru","D02E","2EQ2",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EQ3_01_20210728","quru","D02E","2EQ3",1,2021,"85","B",13.5816616323168,0.279615095608505
"2WA1_01_20210729","acru","D02W","2WA1",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WA2_01_20210728","acru","D02W","2WA2",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WA3_01_20210728","acru","D02W","2WA3",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WP1_01_20210728","pogr","D02W","2WP1",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WP2_01_20210729","pogr","D02W","2WP2",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WQ1_01_20210729","quru","D02W","2WQ1",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WQ2_01_20210728","quru","D02W","2WQ2",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WQ3_01_20210729","quru","D02W","2WQ3",1,2021,"85","T",13.5816616323168,0.279615095608505
"3EA1_01_20210805","acru","D03E","3EA1",1,2021,"45","B",13.5816616323168,0.279615095608505
"3EA2_01_20210805","acru","D03E","3EA2",1,2021,"45","B",13.5816616323168,0.279615095608505
"3EA3_01_20210805","acru","D03E","3EA3",1,2021,"45","B",13.5816616323168,0.279615095608505
"3EP1_01_20210805","pogr","D03E","3EP1",1,2021,"45","B",13.5816616323168,0.279615095608505
"3EP2_01_20210805","pogr","D03E","3EP2",1,2021,"45","B",13.5816616323168,0.279615095608505
"3EP3_01_20210805","pogr","D03E","3EP3",1,2021,"45","B",13.5816616323168,0.279615095608505
"3EQ1_01_20210805","quru","D03E","3EQ1",1,2021,"45","B",13.5816616323168,0.279615095608505
"3EQ2_01_20210805","quru","D03E","3EQ2",1,2021,"45","B",13.5816616323168,0.279615095608505
"3EQ3_01_20210805","quru","D03E","3EQ3",1,2021,"45","B",13.5816616323168,0.279615095608505
"3WA1_01_20210805","acru","D03W","3WA1",1,2021,"45","T",13.5816616323168,0.279615095608505
"3WA2_01_20210805","acru","D03W","3WA2",1,2021,"45","T",13.5816616323168,0.279615095608505
"3WA3_01_20210805","acru","D03W","3WA3",1,2021,"45","T",13.5816616323168,0.279615095608505
"3WP1_01_20210805","pogr","D03W","3WP1",1,2021,"45","T",13.5816616323168,0.279615095608505
"3WP2_01_20210805","pogr","D03W","3WP2",1,2021,"45","T",13.5816616323168,0.279615095608505
"3WP3_01_20210805","pogr","D03W","3WP3",1,2021,"45","T",13.5816616323168,0.279615095608505
"3WQ1_01_20210805","quru","D03W","3WQ1",1,2021,"45","T",13.5816616323168,0.279615095608505
"3WQ2_01_20210805","quru","D03W","3WQ2",1,2021,"45","T",13.5816616323168,0.279615095608505
"3WQ3_01_20210805","quru","D03W","3WQ3",1,2021,"45","T",13.5816616323168,0.279615095608505
"4EA1_01_20210726","acru","D04E","4EA1",1,2021,"65","T",13.5816616323168,0.279615095608505
"4EA2_01_20210726","acru","D04E","4EA2",1,2021,"65","T",13.5816616323168,0.279615095608505
"4EA3_01_20210726","acru","D04E","4EA3",1,2021,"65","T",13.5816616323168,0.279615095608505
"4EP1_01_20210726","pogr","D04E","4EP1",1,2021,"65","T",13.5816616323168,0.279615095608505
"4EP2_01_20210728","pogr","D04E","4EP2",1,2021,"65","T",13.5816616323168,0.279615095608505
"4EP3_01_20210728","pogr","D04E","4EP3",1,2021,"65","T",13.5816616323168,0.279615095608505
"4EQ1_01_20210728","quru","D04E","4EQ1",1,2021,"65","T",13.5816616323168,0.279615095608505
"4EQ2_01_20210726","quru","D04E","4EQ2",1,2021,"65","T",13.5816616323168,0.279615095608505
"4WA1_01_20210726","acru","D04W","4WA1",1,2021,"65","B",13.5816616323168,0.279615095608505
"4WA2_01_20210726","acru","D04W","4WA2",1,2021,"65","B",13.5816616323168,0.279615095608505
"4WA3_01_20210726","acru","D04W","4WA3",1,2021,"65","B",13.5816616323168,0.279615095608505
"4WP1_01_20210726","pogr","D04W","4WP1",1,2021,"65","B",13.5816616323168,0.279615095608505
"4WP2_01_20210726","pogr","D04W","4WP2",1,2021,"65","B",13.5816616323168,0.279615095608505
"4WP3_01_20210726","pogr","D04W","4WP3",1,2021,"65","B",13.5816616323168,0.279615095608505
"4WQ1_01_20210726","quru","D04W","4WQ1",1,2021,"65","B",13.5816616323168,0.279615095608505
"4WQ2_01_20210726","quru","D04W","4WQ2",1,2021,"65","B",13.5816616323168,0.279615095608505
"4WQ3_01_20210726","quru","D04W","4WQ3",1,2021,"65","B",13.5816616323168,0.279615095608505
