"Neighborhood_ID","BA_nb","BA_frac_killed","H_BA_weighted","geometry"
"2EA1",8707.733961,0.578846634,1.06281770779089,c(679092.751117995, 5047891.00017443)
"3WA3",5278.206107,0.36146104,1.31531537532416,c(679087.373866585, 5047843.90291252)
"3WA2",3679.072438,0.263006101,0.894993878419309,c(679097.237517288, 5047839.57085106)
"1WA2",2831.729829,0,0.539918194414007,c(678917.476249411, 5047892.12503153)
"3EA3",6142.631129,0.29091911,0.837552310239421,c(679141.643110608, 5047831.55743034)
"1EA3",5222.859093,0,0.640538768676055,c(678959.24862907, 5047881.66678936)
"1WA1",2808.230713,0,0.175582152499373,c(678944.54082447, 5047888.79591515)
"3EA2",8258.87886,0.474156795,0.697228330356444,c(679185.613123768, 5047821.03012528)
"4EA2",6315.599385,0.281659489,1.20477374448083,c(679244.064729943, 5047890.9396307)
"4EA1",6050.700265,0.473912869,0.77666307396179,c(679242.601311885, 5047897.85807643)
"3EA1",6663.931364,0.298267015,0.899428533085018,c(679173.968014582, 5047833.29433272)
"2WA3",9848.477793,0.665084728,1.15585542394292,c(679082.135487902, 5047897.86803826)
"1EA2",6636.615213,0,0.941011802808819,c(678991.784508475, 5047869.18791464)
"1EA1",6379.200936,0,0.703168527543531,c(678998.514639767, 5047867.08991518)
"3WA1",6465.225607,0.603602137,0.443901810630964,c(679125.403803036, 5047848.24892906)
"2WA1",9238.301894,0.82026887,0.223027848467849,c(679072.27817992, 5047915.63176097)
"2EA2",12324.89345,0.854342254,0.941473256383782,c(679111.04605293, 5047882.98446503)
"4WA2",6223.385778,0.509090267,0.904946080011703,c(679198.587131318, 5047870.6577025)
"1WA3",8429.506629,0,1.36248590219956,c(678892.887008602, 5047897.11499054)
"2WA2",11549.33624,0.872767692,0.850847776326809,c(679080.713529615, 5047905.2546859)
"4WA3",8767.13363,0.659955602,0.994917643258863,c(679193.015240348, 5047868.30778532)
"4EA3",6050.763097,0.311633981,1.00704753406235,c(679226.957411372, 5047898.38855337)
"2EA3",12008.37796,0.862082836,0.87339362630665,c(679110.374424381, 5047877.25020187)
"4WA1",6298.909674,0.465244476,1.18452852690208,c(679206.711039359, 5047886.99027524)
"1WP2",7955.660157,0,0.871906169625323,c(678880.8790839, 5047911.71538839)
"4EP1",5977.948824,0.479680373,1.00545038794898,c(679241.602037316, 5047896.750939)
"1EP3",3147.946872,0,1.1800351181468,c(678981.138780312, 5047870.82927198)
"1WP3",7090.402613,0,1.48396140591167,c(678893.797505157, 5047898.59756879)
"3WP3",2157.583241,0,1.08775191732664,c(679064.658801434, 5047853.25991753)
"3WP2",4891.263951,0.192229939,0.885230067728694,c(679081.813054282, 5047846.62356898)
"4EP3",8628.385175,0.595090115,1.03485772592105,c(679265.398750786, 5047889.99398473)
"4WP3",5232.927899,0.449966005,1.22073806602006,c(679208.258426628, 5047885.86710788)
"2WP2",9691.853675,0.749492911,1.07194961461669,c(679061.513430169, 5047915.70182866)
"1EP1",6639.599726,0,1.05151437915138,c(678995.442812892, 5047868.53645615)
"4WP1",4994.300348,0.471040771,0.907144860107708,c(679206.478202443, 5047895.12255017)
"4EP2 ",10062.73444,0.682016536,0.726919046554344,c(679267.313207471, 5047887.2357653)
"2EP2",10304.89628,0.904288676,1.04121723583925,c(679113.92687379, 5047880.29833097)
"2EP3",6233.815866,0.897085096,0.880286038188878,c(679122.53746612, 5047868.71437586)
"3EP1",4573.672461,0.202028719,0.736314114168397,c(679170.411404069, 5047829.845775)
"3EP2",6908.787122,0.412863467,1.15433266961335,c(679189.701955606, 5047823.34869488)
"2WP1",9205.440831,0.746237649,1.09188519811755,c(679089.369695137, 5047898.35299228)
"1EP2",7329.202951,0,0.793243606161414,c(679003.842501688, 5047859.40356254)
"2EP1",11012.88568,0.873879264,0.712611845658128,c(679096.664735428, 5047879.51528811)
"4WP2",5176.229998,0.457827687,1.16990631466515,c(679207.255629341, 5047888.42907038)
"3WP1",2764.861022,0,0.634289279084566,c(679076.15754312, 5047847.74041955)
"1WP1",9585.997699,0,1.30339630831952,c(678884.232676496, 5047905.87382538)
"3EP3",4004.37654,0.230750824,0.666572833253696,c(679169.002887016, 5047827.48163415)
"1WQ1",3586.953078,0,0.583276977904197,c(678927.45085372, 5047885.81674858)
"3WQ1",4504.635955,0.684458842,0.463368049905809,c(679122.063099461, 5047832.34244531)
"3WQ3",1646.296834,0.587754576,1.07330995468674,c(679098.437984556, 5047838.01521775)
"1EQ3",2278.11831,0,1.43970147823811,c(678974.717825988, 5047873.31416762)
"3WQ2",2490.827718,0.635680547,0.144363009519054,c(679111.775421893, 5047836.20646624)
"2WQ2",7920.246551,0.65061873,1.0505349988797,c(679093.344194955, 5047895.93163661)
"2EQ3",11283.36898,0.852930756,0.798876603528241,c(679097.771896371, 5047878.4906857)
"1EQ2",5692.480123,0,0.931021773406022,c(678990.710999426, 5047868.49009087)
"1WQ2",7438.012024,0,0.823888408597019,c(678938.609109501, 5047875.26160195)
"3EQ3",3735.770338,0.478350815,1.39369575588577,c(679135.207592152, 5047834.82006398)
"3EQ2",5626.883661,0.22556624,1.31695503515791,c(679145.460290246, 5047828.63125752)
"4WQ3",11113.24387,0.860982684,0.65421396773148,c(679180.442441786, 5047869.32658068)
"2EQ1",9042.070141,0.599591582,1.06672446466091,c(679092.58831423, 5047893.141437)
"2WQ3",9886.310427,0.894453607,0.714171551299022,c(679068.596087809, 5047917.6612192)
"4WQ2",4071.795125,0.157774233,1.27641466298532,c(679202.538995335, 5047873.93969453)
"1WQ3",3954.684392,0,0.800555057758686,c(678914.280346297, 5047889.44301008)
"2WQ1",7473.89687,0.846306139,0.569650654120682,c(679077.899934498, 5047907.77597589)
"3EQ1",2569.901614,0.531429357,0.950168999056229,c(679176.824429635, 5047839.10226529)
"2EQ2",6693.108909,0.53025195,1.0467613542785,c(679094.226704019, 5047888.01809257)
"1EQ1",3958.187268,0,1.14922184652325,c(678988.520400536, 5047869.98407274)
"4EQ2",6277.452593,0.531894103,1.11175707073653,c(679236.714636583, 5047892.31913382)
"4EQ1",10189.00291,0.659391322,1.08567092513795,c(679265.474778439, 5047881.61260355)
"4WQ1",3363.232386,0.377511559,1.14772198307107,c(679197.344389992, 5047882.41913939)
