Filename_2018,date,leaf_area_cm2,leaf_mass_g,LMA_gm2,notes
D01W_acru_can01_07232018,7/23/2018,47.46,0.3434,72.35566793,Morning after another rain event overnight; leaves had to be dried
D01W_acru_can02_07232018,7/23/2018,37.96,0.2355,62.03898841,
D01W_acru_can03_07232018,7/23/2018,63.95,0.4397,68.75684128,
D01W_acru_can04_07232018,7/23/2018,41.84,0.3365,80.42543021,
D01W_acru_can05_07232018,7/23/2018,43.89,0.3134,71.4057872,
D01W_acru_can06_07232018,7/23/2018,53.82,0.3993,74.19175028,
D01W_acru_can07_07232018,7/23/2018,38.26,0.2895,75.66649242,
D01W_acru_can08_07232018,7/23/2018,43.18,0.2957,68.48077814,
D01W_acru_can09_07232018,7/23/2018,34.61,0.2636,76.16295868,
D01W_pogr_can01_07232018,7/23/2018,55.11,0.3318,60.20685901,
D01W_pogr_can02_07232018,7/23/2018,50.34,0.3481,69.14978149,
D01W_pogr_can03_07232018,7/23/2018,26.91,0.1795,66.70382757,
D01W_pogr_can04_07232018,7/23/2018,43.41,0.2938,67.68025801,
D01W_pogr_can05_07232018,7/23/2018,40.64,0.3078,75.73818898,
D01W_pogr_can06_07232018,7/23/2018,36.83,0.2257,61.28156394,
D01W_pogr_can07_07232018,7/23/2018,29.88,0.2107,70.51539491,
D01W_pogr_can08_07232018,7/23/2018,37.78,0.2787,73.76919005,
D01W_pogr_can09_07232018,7/23/2018,37.98,0.2665,70.16850974,
D01W_quru_can01_07232018,7/23/2018,72.54,0.724,99.80700303,
D01W_quru_can02_07232018,7/23/2018,48.47,0.5003,103.2184857,
D01W_quru_can03_07232018,7/23/2018,72.92,0.7191,98.61492046,
D01W_quru_can04_07232018,7/23/2018,118.43,1.2698,107.2194545,
D01W_quru_can05_07232018,7/23/2018,76.38,0.6534,85.54595444,
D01W_quru_can06_07232018,7/23/2018,138.21,1.3757,99.53693655,
D01W_quru_can07_07232018,7/23/2018,148.98,1.5814,106.1484763,
D01W_quru_can08_07232018,7/23/2018,121.27,1.0769,88.80184712,
D01W_quru_can09_07232018,7/23/2018,80.07,0.6013,75.09679031,
D01E_acru_can01_07222018,7/22/2018,99.04,0.6768,68.33602585,
D01E_acru_can02_07222018,7/22/2018,88.88,0.5387,60.60981098,
D01E_acru_can03_07222018,7/22/2018,66.27,0.3686,55.62094462,
D01E_acru_can04_07222018,7/22/2018,49.6,0.4017,80.98790323,
D01E_acru_can05_07222018,7/22/2018,41.21,0.3228,78.33050231,
D01E_acru_can06_07222018,7/22/2018,70.37,0.5654,80.34673867,
D01E_acru_can07_07222018,7/22/2018,69.07,0.4873,70.5516143,
D01E_acru_can08_07222018,7/22/2018,41.06,0.2991,72.84461763,
D01E_acru_can09_07222018,7/22/2018,102.1,0.8962,87.77668952,
D01E_pogr_can01_07222018,7/22/2018,44.38,0.374,84.27219468,
D01E_pogr_can02_07222018,7/22/2018,29.84,0.2681,89.8458445,
D01E_pogr_can03_07222018,7/22/2018,53.4,0.4081,76.42322097,
D01E_pogr_can04_07222018,7/22/2018,49.79,0.3828,76.88290821,
D01E_pogr_can05_07222018,7/22/2018,50.86,0.3883,76.34683445,
D01E_pogr_can06_07222018,7/22/2018,43.94,0.2784,63.35912608,
D01E_pogr_can07_07222018,7/22/2018,42.2,0.293,69.43127962,
D01E_pogr_can08_07222018,7/22/2018,47.37,0.3673,77.53852649,
D01E_pogr_can09_07222018,7/22/2018,37.1,0.3077,82.93800539,
D01E_quru_can01_07222018,7/22/2018,74.72,0.7134,95.4764454,
D01E_quru_can02_07222018,7/22/2018,70.69,0.6191,87.57957278,
D01E_quru_can03_07222018,7/22/2018,72.38,0.5617,77.60431058,
D01E_quru_can04_07222018,7/22/2018,83.96,0.6967,82.97999047,
D01E_quru_can05_07222018,7/22/2018,87.37,0.7542,86.32253634,
D01E_quru_can06_07222018,7/22/2018,151.5,1.1417,75.35973597,
D01E_quru_can07_07222018,7/22/2018,42.62,0.3489,81.86297513,
D01E_quru_can08_07222018,7/22/2018,106.83,0.9647,90.30234953,
D01E_quru_can09_07222018,7/22/2018,84.33,0.7378,87.4896241,
D02W_acru_can01_07182018,7/18/2018,99.42,0.5384,54.15409374,
D02W_acru_can02_07182018,7/18/2018,41.81,0.2826,67.59148529,
D02W_acru_can03_07182018,7/18/2018,88.01,0.4709,53.50528349,
D02W_acru_can04_07182018,7/18/2018,83.7,0.4873,58.21983274,
D02W_acru_can05_07182018,7/18/2018,35.74,0.2313,64.71740347,
D02W_acru_can06_07182018,7/18/2018,101.72,0.5683,55.8690523,
D02W_acru_can07_07182018,7/18/2018,61.24,0.3457,56.45003266,
D02W_acru_can08_07182018,7/18/2018,55.31,0.3391,61.30898572,arbitrarily assigned as can08; 08 and 09 were in the same bag (this is the larger leaf of the two in the bag)
D02W_acru_can09_07182018,7/18/2018,NA,0.232,NA,arbitrarily assigned as can09; 08 and 09 were in the same bag (this is the smaller leaf of the two in the bag)
D02W_acru_can10_07182018,7/18/2018,78.05,0.4741,60.74311339,
D02W_acru_can11_07182018,7/18/2018,124.25,0.7902,63.59758551,
D02W_acru_can12_07182018,7/18/2018,62.21,0.4141,66.56486095,
D02W_acru_can13_07182018,7/18/2018,52.13,0.3615,69.3458661,
D02W_acru_can14_07182018,7/18/2018,52.55,0.3367,64.07231208,
D02W_acru_can15_07182018,7/18/2018,108.7,0.7852,72.23551058,
D02W_pogr_can01_07172018,7/17/2018,49.45,0.3885,78.56420627,
D02W_pogr_can02_07172018,7/17/2018,41.25,0.349,84.60606061,
D02W_pogr_can03_07172018,7/17/2018,43.16,0.3483,80.69972196,
D02W_pogr_can04_07172018,7/17/2018,39.22,0.3047,77.68995411,
D02W_pogr_can05_07172018,7/17/2018,39.77,0.349,87.75458889,
D02W_pogr_can06_07182018,7/18/2018,70.19,0.6064,86.39407323,
D02W_pogr_can07_07182018,7/18/2018,46.16,0.3866,83.75216638,
D02W_pogr_can08_07182018,7/18/2018,70.5,0.5871,83.27659574,
D02W_pogr_can09_07182018,7/18/2018,51.38,0.4616,89.84040483,
D02W_pogr_can10_07182018,7/18/2018,41.62,0.3683,88.49111004,
D02W_pogr_can11_07182018,7/18/2018,57.75,0.4569,79.11688312,
D02W_pogr_can12_07182018,7/18/2018,55.48,0.4397,79.25378515,
D02W_pogr_can13_07182018,7/18/2018,61.55,0.5152,83.70430544,
D02W_pogr_can14_07182018,7/18/2018,61.43,0.4561,74.24711053,
D02W_pogr_can15_07182018,7/18/2018,35.99,0.273,75.854404,
D02W_quru_can01_07172018,7/17/2018,66.8,0.7521,112.5898204,
D02W_quru_can02_07172018,7/17/2018,89.54,0.7302,81.55014519,
D02W_quru_can03_07172018,7/17/2018,69.97,0.8992,128.5122195,
D02W_quru_can04_07172018,7/17/2018,60.02,0.5513,91.85271576,
D02W_quru_can05_07172018,7/17/2018,60.37,0.6339,105.0024847,
D02W_quru_can06_07172018,7/17/2018,87.03,0.8628,99.1382282,
D02W_quru_can07_07172018,7/17/2018,71.3,0.5141,72.10378682,
D02W_quru_can08_07172018,7/17/2018,71.76,0.574,79.98885173,
D02W_quru_can09_07172018,7/17/2018,103.98,1.0992,105.712637,
D02W_quru_can10_07172018,7/17/2018,58.22,0.6457,110.9069048,
D02W_quru_can11_07182018,7/18/2018,48.87,0.3544,72.51892777,
D02W_quru_can12_07182018,7/18/2018,105.83,0.8762,82.79315884,
D02W_quru_can13_07182018,7/18/2018,87.98,0.5403,61.41168447,
D02W_quru_can14_07182018,7/18/2018,65.57,0.5298,80.79914595,
D02W_quru_can15_07182018,7/18/2018,133.59,0.8557,64.05419567,
D02E_acru_can01_07182018,7/18/2018,41.4,0.3171,76.5942029,
D02E_acru_can02_07182018,7/18/2018,78.5,0.5395,68.72611465,
D02E_acru_can03_07182018,7/18/2018,76.11,0.374,49.13940349,
D02E_acru_can04_07182018,7/18/2018,87.49,0.4974,56.85221168,
D02E_acru_can05_07182018,7/18/2018,64.45,0.4157,64.4996121,
D02E_acru_can06_07192018,7/19/2018,66.07,0.4194,63.47812926,
D02E_acru_can07_07192018,7/19/2018,45.86,0.2885,62.90885303,
D02E_acru_can08_07192018,7/19/2018,91.01,0.6313,69.36600374,
D02E_acru_can09_07192018,7/19/2018,89.62,0.4891,54.57487168,
D02E_acru_can10_07192018,7/19/2018,80.38,0.4482,55.76013934,
D02E_acru_can11_07192018,7/19/2018,37.26,0.1748,46.91358025,
D02E_pogr_can01_07182018,7/18/2018,39.03,0.2861,73.30258775,
D02E_pogr_can02_07182018,7/18/2018,40.18,0.2874,71.52812344,
D02E_pogr_can03_07182018,7/18/2018,45.14,0.3482,77.13779353,
D02E_pogr_can04_07182018,7/18/2018,45.03,0.3568,79.23606485,
D02E_pogr_can05_07182018,7/18/2018,44.23,0.3381,76.44132941,
D02E_pogr_can06_07192018,7/19/2018,49.66,0.3637,73.23801853,
D02E_pogr_can07_07192018,7/19/2018,46.96,0.3429,73.01959114,
D02E_pogr_can08_07192018,7/19/2018,46.16,0.3559,77.10138648,
D02E_pogr_can09_07192018,7/19/2018,53.18,0.417,78.41293719,
D02E_pogr_can10_07192018,7/19/2018,45.81,0.3788,82.68936913,
D02E_pogr_can11_07192018,7/19/2018,43.74,0.3633,83.05898491,
D02E_quru_can01_07182018,7/18/2018,161.67,0.8691,53.75765448,
D02E_quru_can02_07182018,7/18/2018,81.31,0.5034,61.91120403,
D02E_quru_can03_07182018,7/18/2018,151.69,0.9235,60.88074362,
D02E_quru_can04_07182018,7/18/2018,57.29,0.3795,66.24192704,
D02E_quru_can05_07182018,7/18/2018,172.44,1.0914,63.29157968,
D02E_quru_can06_07182018,7/18/2018,186.88,1.4642,78.34974315,
D02E_quru_can07_07182018,7/18/2018,114.07,0.8599,75.38353643,
D02E_quru_can08_07182018,7/18/2018,93.17,0.781,83.82526564,
D02E_quru_can09_07182018,7/18/2018,145.12,1.0723,73.89057332,
D02E_quru_can10_07182018,7/18/2018,123.92,1.0718,86.4912847,
D02E_quru_can11_07192018,7/19/2018,64.29,0.3842,59.76046041,
D02E_quru_can12_07192018,7/19/2018,203.56,1.7078,83.89663981,
D02E_quru_can13_07192018,7/19/2018,51.43,0.2943,57.22341046,
D03W_acru_can01_07222018,7/22/2018,39.43,0.2878,72.99010905,morning after rain on 7/21
D03W_acru_can02_07222018,7/22/2018,59.26,0.3944,66.55416807,morning after rain on 7/21
D03W_acru_can03_07222018,7/22/2018,38.88,0.2253,57.94753086,morning after rain on 7/21
D03W_acru_can04_07222018,7/22/2018,57.97,0.3021,52.11316198,morning after rain on 7/21
D03W_acru_can05_07222018,7/22/2018,75.17,0.4883,64.9594253,morning after rain on 7/21
D03W_acru_can06_07222018,7/22/2018,70.25,0.4498,64.02846975,morning after rain on 7/21
D03W_acru_can07_07222018,7/22/2018,55.51,0.4462,80.38191317,morning after rain on 7/21
D03W_acru_can08_07222018,7/22/2018,60.25,0.4788,79.46887967,morning after rain on 7/21
D03W_acru_can09_07222018,7/22/2018,66.06,0.4846,73.35755374,morning after rain on 7/21
D03W_pogr_can01_07222018,7/22/2018,53.54,0.44,82.18154651,morning after rain on 7/21
D03W_pogr_can02_07222018,7/22/2018,57.84,0.4702,81.29322268,morning after rain on 7/21
D03W_pogr_can03_07222018,7/22/2018,55.97,0.4506,80.50741469,morning after rain on 7/21
D03W_pogr_can04_07222018,7/22/2018,46.06,0.3804,82.58792879,morning after rain on 7/21
D03W_pogr_can05_07222018,7/22/2018,40.36,0.2835,70.24281467,morning after rain on 7/21
D03W_pogr_can06_07222018,7/22/2018,41.37,0.3303,79.8404641,morning after rain on 7/21
D03W_pogr_can07_07222018,7/22/2018,35.47,0.2785,78.51705667,morning after rain on 7/21
D03W_pogr_can08_07222018,7/22/2018,42.84,0.3691,86.15779645,morning after rain on 7/21
D03W_pogr_can09_07222018,7/22/2018,56.37,0.5632,99.91130034,morning after rain on 7/21
D03W_pogr_can10_07222018,7/22/2018,44.69,0.3094,69.23249049,morning after rain on 7/21
D03W_quru_can01_07222018,7/22/2018,58.95,0.5283,89.61832061,morning after rain on 7/21
D03W_quru_can02_07222018,7/22/2018,60.08,0.5433,90.42942743,morning after rain on 7/21
D03W_quru_can03_07222018,7/22/2018,123.92,0.9797,79.05907037,morning after rain on 7/21
D03W_quru_can04_07222018,7/22/2018,83.21,0.9298,111.7413772,morning after rain on 7/21
D03W_quru_can05_07222018,7/22/2018,102.29,1.0362,101.3002249,morning after rain on 7/21
D03W_quru_can06_07222018,7/22/2018,68.33,0.7697,112.6445192,morning after rain on 7/21
D03W_quru_can07_07222018,7/22/2018,47.5,0.4484,94.4,morning after rain on 7/21
D03W_quru_can08_07222018,7/22/2018,85.31,0.9291,108.908686,morning after rain on 7/21
D03W_quru_can09_07222018,7/22/2018,88.71,0.6683,75.33536242,morning after rain on 7/21
D03E_acru_can01_07202018,7/20/2018,42.28,0.2734,64.6641438,
D03E_acru_can02_07202018,7/20/2018,77.96,0.637,81.7085685,
D03E_acru_can03_07202018,7/20/2018,66.83,0.4908,73.44007182,
D03E_acru_can04_07202018,7/20/2018,85.3,0.5764,67.57327081,
D03E_acru_can05_07202018,7/20/2018,36.4,0.1918,52.69230769,
D03E_acru_can06_07202018,7/20/2018,57.36,0.3636,63.38912134,
D03E_acru_can07_07202018,7/20/2018,50.11,0.4618,92.15725404,
D03E_acru_can08_07202018,7/20/2018,75.3,0.7859,104.3691899,
D03E_acru_can09_07202018,7/20/2018,21.49,0.1893,88.08748255,
D03E_pogr_can01_07202018,7/20/2018,44.9,0.4219,93.96436526,
D03E_pogr_can02_07202018,7/20/2018,64.01,0.5466,85.39290736,
D03E_pogr_can03_07202018,7/20/2018,44.01,0.3821,86.82117701,
D03E_pogr_can04_07202018,7/20/2018,41.92,0.3633,86.66507634,
D03E_pogr_can05_07202018,7/20/2018,46.75,0.3891,83.22994652,
D03E_pogr_can06_07202018,7/20/2018,48.54,0.4508,92.87185826,
D03E_pogr_can07_07202018,7/20/2018,38.68,0.2872,74.25025853,
D03E_pogr_can08_07202018,7/20/2018,45.47,0.3619,79.59093908,
D03E_pogr_can09_07202018,7/20/2018,62.56,0.5417,86.58887468,
D03E_quru_can01_07202018,7/20/2018,59.53,0.4121,69.22560054,
D03E_quru_can02_07202018,7/20/2018,70.41,0.6051,85.93949723,
D03E_quru_can03_07202018,7/20/2018,79.86,0.7164,89.70698723,
D03E_quru_can04_07202018,7/20/2018,72.86,0.6774,92.9728246,
D03E_quru_can05_07202018,7/20/2018,67.96,0.8108,119.3054738,
D03E_quru_can06_07202018,7/20/2018,83.49,0.7057,84.52509283,
D03E_quru_can07_07202018,7/20/2018,55.16,0.5254,95.25018129,
D03E_quru_can08_07202018,7/20/2018,70.46,0.5668,80.44280443,
D03E_quru_can09_07202018,7/20/2018,99.87,0.8456,84.67007109,
D04W_acru_can01_07202018,7/20/2018,72.68,0.6315,86.88772702,
D04W_acru_can02_07202018,7/20/2018,47.79,0.3578,74.8692195,
D04W_acru_can03_07202018,7/20/2018,67.1,0.5607,83.56184799,
D04W_acru_can04_07202018,7/20/2018,40.67,0.3132,77.01008114,
D04W_acru_can05_07202018,7/20/2018,43.44,0.2887,66.45948435,
D04W_acru_can06_07202018,7/20/2018,42.44,0.34,80.11310085,
D04W_acru_can07_07202018,7/20/2018,52.55,0.3002,57.12654615,
D04W_acru_can08_07202018,7/20/2018,75.08,0.5422,72.21630261,
D04W_acru_can09_07202018,7/20/2018,102.38,0.7432,72.59230318,
D04W_pogr_can01_07192018,7/19/2018,34.56,0.2884,83.44907407,
D04W_pogr_can02_07192018,7/19/2018,28.46,0.2044,71.82009838,
D04W_pogr_can03_07192018,7/19/2018,32.49,0.2386,73.43798092,
D04W_pogr_can04_07192018,7/19/2018,35.03,0.3117,88.98087354,
D04W_pogr_can05_07192018,7/19/2018,38.92,0.3133,80.49845838,
D04W_pogr_can06_07192018,7/19/2018,34.47,0.2748,79.72149695,
D04W_pogr_can07_07202018,7/20/2018,34.79,0.2048,58.86749066,
D04W_pogr_can08_07202018,7/20/2018,36.27,0.2678,73.83512545,
D04W_pogr_can09_07202018,7/20/2018,29.96,0.183,61.08144192,
D04W_quru_can01_07202018,7/20/2018,79.64,0.7211,90.54495229,
D04W_quru_can02_07202018,7/20/2018,49.56,0.369,74.45520581,
D04W_quru_can03_07202018,7/20/2018,107.13,0.9215,86.01698871,
D04W_quru_can04_07202018,7/20/2018,78.38,0.7003,89.34677214,
D04W_quru_can05_07202018,7/20/2018,54.15,0.472,87.16528163,
D04W_quru_can06_07202018,7/20/2018,71.26,0.6466,90.73814202,
D04W_quru_can07_07202018,7/20/2018,58.99,0.438,74.24987286,
D04W_quru_can08_07202018,7/20/2018,100.54,0.6824,67.87348319,
D04W_quru_can09_07202018,7/20/2018,98.7,0.8792,89.07801418,
D04E_acru_can01_07192018,7/19/2018,50.02,0.4241,84.78608557,
D04E_acru_can02_07192018,7/19/2018,41.83,0.3612,86.34950992,
D04E_acru_can03_07192018,7/19/2018,90.67,0.7062,77.8868424,
D04E_acru_can04_07192018,7/19/2018,61.04,0.491,80.43905636,
D04E_acru_can05_07192018,7/19/2018,36.65,0.3029,82.64665757,
D04E_acru_can06_07192018,7/19/2018,77.19,0.5614,72.72962819,
D04E_acru_can07_07192018,7/19/2018,57.64,0.4878,84.62873005,
D04E_acru_can08_07192018,7/19/2018,80.28,0.6274,78.15146986,
D04E_acru_can09_07192018,7/19/2018,81.4,0.676,83.04668305,
D04E_pogr_can01_07192018,7/19/2018,47.17,0.4427,93.85202459,
D04E_pogr_can02_07192018,7/19/2018,44.85,0.3944,87.93756968,
D04E_pogr_can03_07192018,7/19/2018,47.21,0.45,95.31878839,
D04E_pogr_can04_07192018,7/19/2018,54.39,0.498,91.5609487,
D04E_pogr_can05_07192018,7/19/2018,34.93,0.2413,69.08101918,
D04E_pogr_can06_07192018,7/19/2018,36.66,0.2922,79.70540098,
D04E_pogr_can07_07192018,7/19/2018,57.26,0.5238,91.47747118,
D04E_pogr_can08_07192018,7/19/2018,34.52,0.2962,85.80533024,
D04E_pogr_can09_07192018,7/19/2018,67.28,0.6078,90.33888228,
D04E_quru_can01_07192018,7/19/2018,112.8,0.8461,75.00886525,
D04E_quru_can02_07192018,7/19/2018,88.44,0.6631,74.9773858,
D04E_quru_can03_07192018,7/19/2018,68.61,0.534,77.83121994,
D04E_quru_can04_07192018,7/19/2018,70.33,0.7051,100.2559363,
D04E_quru_can05_07192018,7/19/2018,92.14,0.8989,97.55806382,
D04E_quru_can06_07192018,7/19/2018,81.39,0.8906,109.4237621,
D04E_quru_can07_07192018,7/19/2018,63.93,0.4782,74.80056312,
D04E_quru_can08_07192018,7/19/2018,68.78,0.5093,74.04768828,
D04E_quru_can09_07192018,7/19/2018,61.26,0.5447,88.91609533,
